split,image,pair_idx,panel_box,balloon_box,IoU,containment(panel->balloon),containment(balloon->panel)
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0044.png,4,"[596.8,1536.2,1263.5,2336.3]","[596.0,1560.0,1061.0,1796.2]",0.206,0.998,0.206
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0044.png,5,"[596.8,1536.2,1263.5,2336.3]","[743.5,1675.0,864.8,1861.3]",0.042,1.000,0.042
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0044.png,6,"[1291.3,1536.2,2307.2,2336.3]","[1373.5,1558.8,1918.5,1726.2]",0.112,1.000,0.112
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0046.png,0,"[33.0,65.4,985.3,853.7]","[462.7,96.3,950.2,250.0]",0.100,1.000,0.100
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0046.png,1,"[33.0,65.4,985.3,853.7]","[684.0,273.8,950.2,501.3]",0.081,1.000,0.081
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0046.png,2,"[1013.5,65.4,2054.0,855.0]","[1042.8,100.0,1424.0,278.8]",0.083,1.000,0.083
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0046.png,3,"[1013.5,65.4,2054.0,855.0]","[1041.5,542.5,1546.5,815.0]",0.168,1.000,0.168
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0046.png,4,"[33.0,887.4,741.5,1581.2]","[407.8,921.3,674.0,1186.3]",0.144,1.000,0.144
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/p0046.png,5,"[769.0,888.7,2052.7,1581.2]","[1607.7,886.3,2025.2,1158.8]",0.127,0.991,0.127
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0006.png,0,"[302.9,294.1,1402.0,975.0]","[1077.1,295.3,1401.8,414.1]",0.052,1.000,0.052
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0006.png,1,"[305.0,990.0,1404.1,1272.9]","[1067.6,988.2,1400.6,1141.2]",0.162,0.988,0.162
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0006.png,2,"[307.6,1301.2,1400.0,1582.0]","[1127.6,1302.4,1398.2,1429.4]",0.112,1.000,0.112
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0006.png,3,"[306.0,1605.0,1397.1,1808.2]","[992.4,1604.7,1342.9,1749.4]",0.228,0.998,0.228
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0008.png,0,"[307.0,300.0,1396.5,586.0]","[467.4,310.5,831.4,369.8]",0.069,1.000,0.069
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0008.png,1,"[308.0,605.0,1398.0,807.0]","[959.3,617.4,1366.3,719.8]",0.189,1.000,0.189
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0008.png,2,"[305.0,824.0,1398.0,1110.0]","[945.3,823.3,1368.6,944.2]",0.163,0.994,0.163
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0008.png,3,"[304.0,1129.0,1396.0,1279.0]","[322.1,1127.9,626.7,1246.5]",0.218,0.991,0.219
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0008.png,4,"[307.0,1298.0,1401.2,1803.5]","[1002.3,1303.5,1400.0,1414.0]",0.079,1.000,0.079
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0008.png,5,"[307.0,1298.0,1401.2,1803.5]","[780.2,1641.9,1152.3,1719.8]",0.052,1.000,0.052
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0009.png,0,"[302.9,1263.5,1391.2,1432.9]","[401.8,1271.8,815.9,1365.9]",0.211,1.000,0.211
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0009.png,1,"[301.8,1437.6,1391.2,1604.7]","[1121.8,1454.1,1393.5,1584.7]",0.193,0.991,0.193
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0009.png,2,"[304.1,1618.8,1397.1,1803.5]","[1088.8,1655.3,1351.2,1747.1]",0.119,1.000,0.119
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0010.png,0,"[303.3,303.3,568.9,1805.6]","[310.0,1382.2,570.0,1676.7]",0.191,0.996,0.191
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0010.png,1,"[589.8,302.8,1000.0,1806.7]","[588.9,304.4,1001.1,801.1]",0.330,0.995,0.330
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0010.png,2,"[589.8,302.8,1000.0,1806.7]","[708.9,662.2,942.2,1088.9]",0.161,1.000,0.161
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0010.png,3,"[1013.9,300.9,1395.6,686.7]","[1043.3,303.3,1394.4,460.0]",0.374,1.000,0.374
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0010.png,4,"[1017.6,710.2,1396.7,1093.3]","[1017.8,707.8,1397.8,852.2]",0.368,0.980,0.371
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0010.png,5,"[1021.3,1117.6,1394.4,1807.8]","[1020.0,1115.6,1324.4,1461.1]",0.403,0.990,0.404
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0010.png,6,"[1021.3,1117.6,1394.4,1807.8]","[1152.2,1211.1,1394.4,1517.8]",0.288,1.000,0.288
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,0,"[302.8,299.1,1396.7,582.2]","[1121.1,296.7,1396.7,450.0]",0.134,0.984,0.134
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,1,"[303.3,604.4,808.3,1093.5]","[301.1,892.2,486.7,1016.7]",0.092,0.988,0.092
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,2,"[303.3,604.4,808.3,1093.5]","[592.2,932.2,807.8,1074.4]",0.124,1.000,0.124
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,3,"[825.0,600.9,1137.8,1094.4]","[841.1,602.2,1138.9,715.6]",0.218,0.996,0.218
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,4,"[825.0,600.9,1137.8,1094.4]","[960.0,680.0,1140.0,783.3]",0.119,0.988,0.119
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,5,"[1158.3,600.9,1393.3,1095.6]","[1158.9,935.6,1394.4,1094.4]",0.320,0.995,0.320
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,6,"[302.2,1111.1,574.4,1802.2]","[301.1,1110.0,573.3,1490.0]",0.544,0.993,0.546
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,7,"[591.1,1115.6,845.6,1807.8]","[598.9,1115.6,845.6,1233.3]",0.165,1.000,0.165
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,8,"[591.1,1115.6,845.6,1807.8]","[590.0,1622.2,846.7,1807.8]",0.267,0.991,0.268
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,9,"[864.4,1111.1,1121.1,1806.7]","[862.2,1108.9,1121.1,1426.7]",0.450,0.984,0.454
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0011.png,10,"[1141.7,1113.9,1393.3,1807.8]","[1140.0,1113.3,1392.2,1297.8]",0.263,0.990,0.264
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0012.png,0,"[300.9,300.9,527.8,1805.6]","[300.0,330.0,528.9,661.1]",0.220,0.991,0.220
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0012.png,1,"[541.7,300.9,1395.6,522.2]","[540.0,301.1,954.4,441.1]",0.305,0.996,0.306
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0012.png,2,"[541.7,300.9,1395.6,522.2]","[971.1,335.6,1266.7,441.1]",0.165,1.000,0.165
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0012.png,3,"[541.7,300.9,1395.6,522.2]","[836.7,421.1,1390.0,523.3]",0.295,0.989,0.296
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0012.png,4,"[541.7,539.8,1397.8,750.0]","[1150.0,588.9,1396.7,672.2]",0.114,1.000,0.114
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0012.png,5,"[545.6,770.0,1393.3,1057.8]","[1056.7,768.9,1393.3,908.9]",0.191,0.992,0.192
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0012.png,6,"[545.4,1076.9,756.7,1460.0]","[546.7,1074.4,755.6,1172.2]",0.245,0.975,0.246
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0012.png,7,"[775.0,1076.9,961.1,1458.9]","[792.2,1075.6,960.0,1156.7]",0.188,0.984,0.188
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0012.png,8,"[976.9,1219.4,1392.2,1465.6]","[983.3,1216.7,1262.2,1344.4]",0.338,0.978,0.341
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0012.png,9,"[543.5,1480.6,1395.6,1802.2]","[992.2,1494.4,1378.9,1597.8]",0.146,1.000,0.146
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0014.png,0,"[302.8,550.9,654.6,989.8]","[305.6,575.6,476.7,682.2]",0.118,1.000,0.118
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0014.png,1,"[669.4,547.2,1025.6,987.8]","[737.8,547.8,1026.7,686.7]",0.255,0.996,0.255
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0014.png,2,"[1041.1,544.4,1400.0,990.0]","[1180.0,545.6,1394.4,618.9]",0.098,1.000,0.098
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0014.png,3,"[306.5,1397.2,632.4,1810.2]","[306.7,1395.6,465.6,1510.0]",0.133,0.985,0.133
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0014.png,4,"[306.5,1397.2,632.4,1810.2]","[458.9,1396.7,632.2,1540.0]",0.184,0.996,0.184
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0014.png,5,"[306.5,1397.2,632.4,1810.2]","[306.7,1608.9,417.8,1717.8]",0.090,1.000,0.090
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0014.png,6,"[645.4,1399.1,1398.9,1556.7]","[643.3,1401.1,786.7,1481.1]",0.095,0.986,0.095
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0014.png,7,"[645.4,1399.1,1398.9,1556.7]","[676.7,1471.1,1006.7,1557.8]",0.237,0.987,0.238
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0014.png,8,"[647.2,1578.7,1398.9,1808.9]","[992.2,1650.0,1397.8,1807.8]",0.370,1.000,0.370
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0015.png,0,"[300.9,295.4,1400.9,550.9]","[1062.6,295.8,1267.9,389.5]",0.068,1.000,0.068
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0015.png,1,"[300.9,295.4,1400.9,550.9]","[1181.6,328.4,1371.1,412.6]",0.057,1.000,0.057
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0015.png,2,"[245.4,1154.6,1498.4,1912.6]","[972.1,1345.3,1234.2,1460.0]",0.032,1.000,0.032
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0016.png,0,"[300.9,1312.0,1399.5,1522.1]","[906.8,1311.6,1399.5,1494.7]",0.390,0.998,0.390
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0016.png,1,"[300.9,1312.0,1399.5,1522.1]","[1150.0,1414.7,1400.5,1522.1]",0.116,0.996,0.116
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0016.png,2,"[304.6,1543.5,1398.4,1804.2]","[319.5,1658.9,667.9,1793.7]",0.165,1.000,0.165
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0020.png,0,"[302.6,795.8,1397.2,1204.6]","[1103.7,809.5,1352.1,973.7]",0.091,1.000,0.091
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0020.png,1,"[302.8,1227.4,605.8,1801.1]","[304.7,1225.3,450.0,1437.9]",0.176,0.990,0.176
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0020.png,2,"[302.8,1227.4,605.8,1801.1]","[416.3,1254.7,610.0,1364.2]",0.119,0.978,0.119
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0020.png,3,"[632.1,1227.4,1399.1,1402.8]","[990.0,1229.5,1398.4,1344.2]",0.348,1.000,0.348
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0020.png,4,"[630.0,1425.3,1396.3,1548.4]","[1120.5,1423.2,1394.2,1498.9]",0.212,0.972,0.214
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0020.png,5,"[630.0,1567.4,1396.3,1802.1]","[830.0,1567.4,1074.2,1648.4]",0.110,1.000,0.110
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0020.png,6,"[630.0,1567.4,1396.3,1802.1]","[998.4,1571.6,1397.4,1697.9]",0.279,0.997,0.279
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,0,"[303.7,295.8,722.6,960.0]","[303.7,293.7,600.5,534.7]",0.254,0.991,0.255
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,1,"[303.7,295.8,722.6,960.0]","[384.7,365.3,551.1,592.6]",0.136,1.000,0.136
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,2,"[303.7,295.8,722.6,960.0]","[525.8,397.9,721.6,618.9]",0.156,1.000,0.156
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,3,"[739.8,295.4,1399.1,523.1]","[1210.0,294.7,1400.5,426.3]",0.165,0.988,0.165
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,4,"[739.5,545.3,1136.3,961.1]","[736.3,543.2,1138.4,802.1]",0.610,0.979,0.618
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,5,"[1155.3,541.1,1398.4,960.0]","[1153.2,821.1,1399.5,946.3]",0.298,0.987,0.299
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,6,"[301.6,978.9,815.3,1166.3]","[557.4,978.9,815.3,1094.7]",0.310,1.000,0.310
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,7,"[832.1,980.0,1397.4,1163.2]","[1131.1,980.0,1398.4,1101.1]",0.311,0.996,0.311
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,8,"[304.7,1178.9,1397.4,1387.4]","[303.7,1181.1,523.7,1291.6]",0.106,0.995,0.106
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,9,"[302.6,1404.2,1399.5,1804.2]","[833.2,1406.3,1043.7,1604.2]",0.095,1.000,0.095
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0022.png,10,"[302.6,1404.2,1399.5,1804.2]","[845.8,1436.8,1360.5,1563.2]",0.148,1.000,0.148
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,0,"[302.8,294.3,843.6,607.3]","[743.7,489.5,846.8,592.6]",0.061,0.968,0.061
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,1,"[865.7,299.1,1400.9,604.6]","[1211.1,500.0,1400.5,593.7]",0.109,1.000,0.109
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,2,"[304.6,625.0,1401.6,801.1]","[377.4,710.5,505.8,789.5]",0.052,1.000,0.052
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,3,"[304.6,625.0,1401.6,801.1]","[1077.4,621.1,1254.2,697.9]",0.067,0.949,0.067
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,4,"[304.6,625.0,1401.6,801.1]","[1147.9,668.4,1402.6,783.2]",0.151,0.996,0.151
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,5,"[304.6,823.1,742.6,1200.0]","[318.4,821.1,580.5,948.4]",0.198,0.984,0.199
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,6,"[304.6,823.1,742.6,1200.0]","[548.9,1060.0,740.5,1188.4]",0.149,1.000,0.149
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,7,"[756.3,820.0,1400.5,1201.1]","[898.4,818.9,1159.5,994.7]",0.186,0.994,0.186
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,8,"[756.3,820.0,1400.5,1201.1]","[1094.2,883.2,1254.2,998.9]",0.075,1.000,0.075
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,9,"[756.3,820.0,1400.5,1201.1]","[1244.7,992.6,1400.5,1067.4]",0.047,1.000,0.047
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,10,"[302.8,1223.1,945.8,1806.3]","[324.7,1222.1,660.5,1436.8]",0.191,0.995,0.191
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,11,"[962.6,1217.9,1398.4,1501.1]","[1174.2,1218.9,1398.4,1380.0]",0.293,1.000,0.293
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,12,"[958.4,1516.8,1397.4,1804.2]","[985.8,1514.7,1208.9,1643.2]",0.223,0.984,0.223
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0023.png,13,"[958.4,1516.8,1397.4,1804.2]","[1183.7,1527.4,1365.8,1645.3]",0.170,1.000,0.170
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0024.png,0,"[1134.2,734.7,1395.3,943.2]","[1133.2,733.7,1397.4,806.3]",0.340,0.974,0.343
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,0,"[306.8,300.0,1401.6,561.1]","[314.2,300.0,551.1,421.1]",0.100,1.000,0.100
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,1,"[306.8,300.0,1401.6,561.1]","[532.1,312.6,760.5,417.9]",0.084,1.000,0.084
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,2,"[306.8,300.0,1401.6,561.1]","[836.3,298.9,1402.6,421.1]",0.239,0.990,0.239
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,3,"[306.8,300.0,1401.6,561.1]","[1238.4,383.2,1402.6,461.1]",0.044,0.994,0.044
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,4,"[304.6,738.0,849.1,952.8]","[305.8,737.9,514.2,828.4]",0.161,0.999,0.161
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,5,"[304.6,738.0,849.1,952.8]","[599.5,752.6,667.9,810.5]",0.034,1.000,0.034
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,6,"[304.6,738.0,849.1,952.8]","[679.5,736.8,850.0,825.3]",0.126,0.982,0.127
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,7,"[304.6,738.0,849.1,952.8]","[673.2,903.2,848.9,954.7]",0.074,0.962,0.075
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,8,"[863.9,734.3,1400.9,947.2]","[862.6,735.8,1091.1,841.1]",0.209,0.994,0.209
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,9,"[863.9,734.3,1400.9,947.2]","[1142.6,734.7,1402.6,897.9]",0.368,0.993,0.368
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,10,"[304.7,966.3,849.1,1204.6]","[598.4,965.3,848.9,1049.5]",0.160,0.987,0.161
train,/Users/vincentcruvellier/Documents/GitHub/AnComicsViewer/dataset/images/train/pinup_p0025.png,11,"[304.7,966.3,849.1,1204.6]","[304.7,1111.6,468.9,1206.3]",0.118,0.982,0.118
